title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,8108 Cannock Ct,SUWANEE,GA,30024,"$399,500","4 bds , 3 ba , 2,735 sqft",,https://www.zillow.com/homedetails/8108-Cannock-Ct-Suwanee-GA-30024/69377885_zpid/
House for sale,3220 Maple Terrace Dr,SUWANEE,GA,30024,"$310,000","5 bds , 3 ba , 2,707 sqft",,https://www.zillow.com/homedetails/3220-Maple-Terrace-Dr-Suwanee-GA-30024/14827512_zpid/
House for sale,4905 Aston Ct,Suwanee,GA,30024,"$353,000","4 bds , 3 ba , 2,397 sqft",,https://www.zillow.com/homedetails/4905-Aston-Ct-Suwanee-GA-30024/196376020_zpid/
House for sale,162 Grand Ave,SUWANEE,GA,30024,"$495,000","6 bds , 4 ba , 3,218 sqft",,https://www.zillow.com/homedetails/162-Grand-Ave-Suwanee-GA-30024/14637076_zpid/
House for sale,730 Riverside Dr,SUWANEE,GA,30024,"$457,000","5 bds , 4 ba , 4,244 sqft",,https://www.zillow.com/homedetails/730-Riverside-Dr-Suwanee-GA-30024/14637324_zpid/
Coming soon,2321 Chimney Walk Dr,Suwanee,GA,30024,"$205,000","4 bds , 3 ba , -- sqft",,https://www.zillow.com/homedetails/2321-Chimney-Walk-Dr-Suwanee-GA-30024/2086646774_zpid/
House for sale,8465 Friarbridge Dr,SUWANEE,GA,30024,"$347,900","4 bds , 3 ba , 2,509 sqft",,https://www.zillow.com/homedetails/8465-Friarbridge-Dr-Suwanee-GA-30024/68636551_zpid/
House for sale,5136 Amberden Hall Dr,SUWANEE,GA,30024,"$356,000","4 bds , 3 ba , 2,980 sqft",,https://www.zillow.com/homedetails/5136-Amberden-Hall-Dr-Suwanee-GA-30024/58607978_zpid/
House for sale,2202 Lake Haven Way,SUWANEE,GA,30024,"$255,000","4 bds , 3 ba , 2,998 sqft",Coldwell Banker Residential Brokerage - Perimeter,https://www.zillow.com/homedetails/2202-Lake-Haven-Way-Suwanee-GA-30024/14820250_zpid/
House for sale,600 Grove Field Ct,SUWANEE,GA,30024,"$325,000","4 bds , 3 ba , 2,361 sqft","Ansley Atlanta Real Estate, LLC.",https://www.zillow.com/homedetails/600-Grove-Field-Ct-Suwanee-GA-30024/80169111_zpid/
House for sale,3205 Westbrook Rd,SUWANEE,GA,30024,"$2,999,000","5 bds , 9 ba , 12,093 sqft",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/3205-Westbrook-Rd-Suwanee-GA-30024/14831482_zpid/
House for sale,1225 Swan Mill Ct,SUWANEE,GA,30024,"$539,000","5 bds , 4 ba , 5,000 sqft",SSRE LLC,https://www.zillow.com/homedetails/1225-Swan-Mill-Ct-Suwanee-GA-30024/14827321_zpid/
House for sale,300 Morning Mist Walk,SUWANEE,GA,30024,"$300,000","4 bds , 3 ba , 2,189 sqft",RE/MAX Center,https://www.zillow.com/homedetails/300-Morning-Mist-Walk-Suwanee-GA-30024/14831502_zpid/
House for sale,4015 Dollar Cir,SUWANEE,GA,30024,"$225,000","3 bds , 2 ba , 1,380 sqft",Keller Williams Rlty Atl. Part,https://www.zillow.com/homedetails/4015-Dollar-Cir-Suwanee-GA-30024/14833061_zpid/
House for sale,4684 Whitestone Way,SUWANEE,GA,30024,"$6,499,900","6 bds , 9 ba , 12,611 sqft",River Club Realty LLC,https://www.zillow.com/homedetails/4684-Whitestone-Way-Suwanee-GA-30024/62037448_zpid/
House for sale,2255 Pendleton Pl,SUWANEE,GA,30024,"$255,000","4 bds , 2.5 ba , 2,784 sqft",,https://www.zillow.com/homedetails/2255-Pendleton-Pl-Suwanee-GA-30024/14816526_zpid/
House for sale,461 Grand Ave,SUWANEE,GA,30024,"$499,000","5 bds , 5 ba , 4,358 sqft",Keller Williams Realty North Atlanta,https://www.zillow.com/homedetails/461-Grand-Ave-Suwanee-GA-30024/14637319_zpid/
House for sale,720 Riverside Dr,SUWANEE,GA,30024,"$424,900","7 bds , 4 ba , 4,052 sqft",CENTURY 21 Results,https://www.zillow.com/homedetails/720-Riverside-Dr-Suwanee-GA-30024/14637323_zpid/
House for sale,2679 Beddington Way,SUWANEE,GA,30024,"$245,000","4 bds , 3 ba , 1,925 sqft",RE/MAX Legends,https://www.zillow.com/homedetails/2679-Beddington-Way-Suwanee-GA-30024/14822700_zpid/
New construction,11610 Crestview Ter,Johns Creek,GA,30024,"$596,197","5 bds , 4 ba , 3,271 sqft",,https://www.zillow.com/homedetails/11610-Crestview-Ter-Johns-Creek-GA-30024/2086836981_zpid/
For sale by owner,705 Peachtree Trails Dr,SUWANEE,GA,30024,"$223,900","3 bds , 2 ba , 1,662 sqft",,https://www.zillow.com/homedetails/705-Peachtree-Trails-Dr-Suwanee-GA-30024/55042388_zpid/
House for sale,535 Bayswater Way,SUWANEE,GA,30024,"$380,000","4 bds , 4 ba , 2,844 sqft",Georgia Realty Brokers International Corporation,https://www.zillow.com/homedetails/535-Bayswater-Way-Suwanee-GA-30024/98008032_zpid/
House for sale,76 Morning Top Ct,SUWANEE,GA,30024,"$279,000","4 bds , 3 ba , 2,736 sqft",Virtual Properties Realty.Com,https://www.zillow.com/homedetails/76-Morning-Top-Ct-Suwanee-GA-30024/55042924_zpid/
House for sale,910 Woodward Park Dr,SUWANEE,GA,30024,"$655,000","6 bds , 6 ba , 4,031 sqft",Virtual Properties Realty .Net,https://www.zillow.com/homedetails/910-Woodward-Park-Dr-Suwanee-GA-30024/14827325_zpid/
House for sale,3916 Cherokee Trl,SUWANEE,GA,30024,"$244,900","4 bds , 2 ba , 1,565 sqft",Distinctive Properties of ATL.,https://www.zillow.com/homedetails/3916-Cherokee-Trl-Suwanee-GA-30024/14833082_zpid/
